Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
13,4.681064296438284E-23,0.001996678111016037,0.9,6.635027367298293E-14,1.0,0.16677181699666577,6.933316722256954E-18,0.43046721000000016,0.43046721000000016,0.00636268544113595,0.5314410000000002,0.38742048900000015
14,0.01077526366430583,0.009697737297875247,0.9,3.4266065939217406E-9,1.0,0.31381059609000017,0.1500946352969992,0.31381059609000017,0.43046721000000016,0.1500946352969992,0.5314410000000002,0.07178979876918531
15,1.9884558162725795E-17,0.22876792454961012,0.9,1.10653556986694E-14,1.0,0.31381059609000017,4.628837403188785E-10,0.43046721000000016,0.43046721000000016,0.1853020188851842,1.4376701329782098E-45,0.38742048900000015
16,0.016423203268260675,0.08862938119652508,0.81,1.5926791088519815E-4,1.0,0.34867844010000015,0.2058911320946491,0.43046721000000016,0.43046721000000016,1.5684240429131574E-5,0.5314410000000002,0.34867844010000015
17,2.487709490763459E-23,0.1500946352969992,0.9,1.7659960108993508E-11,1.0,7.164183154692703E-9,0.13508517176729928,0.43046721000000016,0.43046721000000016,0.07976644307687257,0.5314410000000002,0.28242953648100017
18,9.530365732245948E-11,0.1853020188851842,0.9,2.9451836354654825E-12,1.0,0.34867844010000015,0.25418658283290013,0.43046721000000016,0.43046721000000016,0.1500946352969992,0.5314410000000002,0.25418658283290013
19,0.07178979876918531,0.2058911320946491,0.9,0.004638397686588107,1.0,0.25418658283290013,0.25418658283290013,0.31381059609000017,0.34867844010000015,0.030903154382632643,0.5314410000000002,0.31381059609000017
20,9.979388823371132E-8,0.22876792454961012,0.9,0.12157665459056936,1.0,0.34867844010000015,0.25418658283290013,0.34867844010000015,0.43046721000000016,0.10941898913151243,0.5314410000000002,0.25418658283290013
21,0.1853020188851842,0.13508517176729928,0.9,0.0017970102999144335,1.0,0.34867844010000015,0.25418658283290013,0.31381059609000017,0.34867844010000015,0.22876792454961012,0.34867844010000015,0.31381059609000017
22,0.22876792454961012,0.22876792454961012,0.9,0.12157665459056936,1.0,0.0984770902183612,0.2058911320946491,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.2058911320946491
23,0.16677181699666577,0.12157665459056936,0.9,0.16677181699666577,1.0,0.34867844010000015,0.1853020188851842,0.43046721000000016,0.38742048900000015,0.1853020188851842,0.43046721000000016,0.38742048900000015
24,0.22876792454961012,0.22876792454961012,0.9,0.1500946352969992,1.0,0.28242953648100017,0.0523347633027361,0.43046721000000016,0.34867844010000015,0.12157665459056936,0.38742048900000015,0.38742048900000015
25,0.1853020188851842,0.1853020188851842,0.9,0.008727963568087723,1.0,0.31381059609000017,0.22876792454961012,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.43046721000000016,0.38742048900000015
26,0.1853020188851842,0.13508517176729928,0.9,0.16677181699666577,0.9,0.2058911320946491,0.2058911320946491,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.0016173092699229901,0.31381059609000017
27,0.22876792454961012,0.1853020188851842,0.9,0.10941898913151243,1.0,0.25418658283290013,0.2058911320946491,0.34867844010000015,0.2058911320946491,0.22876792454961012,0.5314410000000002,0.34867844010000015
