Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
13,0.23113949088674088,0.31184056290343515,0.30731918564627775,0.15086811701424677,0.2695428464505228,0.26434288405147893,0.22935264930339097,0.3218883132856502,0.27891026687199744,0.2761068341005201,0.2480715261399257,0.3102656986156502,0.1984325399598664,0.22107488336202738,0.2634936109188025,0.28409327781043886,0.3271184898871502,0.25647519605818814,0.20919971592864708,0.2174398286143663,0.15600778183766276,0.24939161714083039,0.156857763518088,0.3202030341585001,0.3370558254300002,0.2501572872014301,0.24061970157781457,0.29004118682838315
14,0.22223020387488243,0.26725682880067053,0.30802776416094163,0.24862503456390297,0.2969862802244416,0.2168896542915887,0.2583336878063938,0.30602925556843513,0.2637753630603017,0.24853873821379602,0.25796393260065015,0.21538064936603943,0.2719639877420206,0.27629261578471276,0.25744091494050014,0.2828125016343766,0.3170707395049352,0.24991469965003557,0.2755374433053129,0.2657302218362175,0.24116264108428243,0.2819181414355202,0.2679186840895554,0.27934954359345016,0.28097854340818146,0.30713340396208516,0.2811598845212153,0.30503552201415013
15,0.24965964920886027,0.2656876371571973,0.30132209662708515,0.2841404434734975,0.30445439128065016,0.29355476135619746,0.26504971774728897,0.3132579407624417,0.2495862299090601,0.24627800932132057,0.3160770059506502,0.2597775791221762,0.3045125043540002,0.2955689023654351,0.2467868230571912,0.24392384249658297,0.32711848988715014,0.31184056290343515,0.2685017499281727,0.21431581332659255,0.295936731183227,0.24268600561693512,0.3112594321699351,0.31383907149594165,0.32601434149350017,0.2313298893512099,0.3218883132856501,0.254008233810789
16,0.2656310472274998,0.3097426809555001,0.3207841648920002,0.30221645682594167,0.2825132774196975,0.32601434149350017,0.224596170743009,0.30913191255459166,0.26777265810086925,0.28234178574024166,0.32659547222700014,0.26616949855767014,0.32288204683993516,0.2619613507658693,0.24641616943424363,0.33124451809500016,0.27653047840524164,0.24773664123907646,0.21562212855500604,0.2440237326048804,0.2892868791363002,0.2971960684192352,0.28361742581334753,0.28505043608908515,0.3183606695827777,0.30555853967430013,0.28758291317509505,0.28921550564734017
17,0.29609192002558515,0.27716839781515,0.2904224667026325,0.31765187023843516,0.2662416168816975,0.29809042861809165,0.30802776416094163,0.1871956383251354,0.27017746657603653,0.29809042861809165,0.23816463551944386,0.2522944792776975,0.26790298321519107,0.29609192002558515,0.3057003936863475,0.3156377292291975,0.2971960684192351,0.29086174342408516,0.2795239305145128,0.25746806594949995,0.2026437803156461,0.29556890236543515,0.285418264906877,0.22599512893993243,0.30503552201415013,0.29355476135619746,0.28387468800441384,0.26902476758832267
18,0.27249770048610616,0.2940777790163475,0.27165600140099,0.32288204683993516,0.23340653980840056,0.2873740973089105,0.284038015700745,0.3067380549127778,0.28523621777327773,0.31084682934915014,0.2691617407044616,0.24941597661919734,0.27509441371218,0.2423669323067338,0.26202665219917054,0.26522174012083105,0.3260143414935001,0.21726368187949593,0.26283943038272684,0.3248805554324416,0.2727354961334043,0.28870574840280017,0.2346864437159899,0.289784746039435,0.29922421467915017,0.29098941203492773,0.2940777790163475,0.23765201401239536
19,0.3155811392995,0.28975759503043513,0.30332060521959164,0.3129447112970851,0.2922791212830916,0.28575923543342774,0.2851238146207438,0.27841857215838317,0.2807146196864416,0.30261202670492776,0.23682352623987737,0.2204110349733268,0.32711848988715014,0.32288204683993516,0.29609192002558515,0.21488976135236923,0.3129447112970851,0.27453196981273514,0.28518528683655003,0.2649511657939787,0.2542619496777278,0.31555398829050013,0.31607700595065014,0.3370558254300002,0.24654483669020333,0.3039313736205001,0.30713340396208516,0.33182564882850013
20,0.3010826707648831,0.27923912875408513,0.2616313031498631,0.30145694737455003,0.23445612175028452,0.3183606695827777,0.31555398829050013,0.3486784401000001,0.27400895215258514,0.26376719063574733,0.23624708025009702,0.273513085501435,0.30713340396208516,0.26848239887700015,0.31184056290343515,0.2560683499374725,0.3171811543443001,0.256143740492745,0.29988908635134753,0.2845274184289352,0.3207841648920002,0.29086174342408516,0.27620043078923556,0.250294808423724,0.304539655363,0.30150787831127773,0.3207841648920002,0.31607700595065014
21,0.2929736306226975,0.31765187023843516,0.3027975875594416,0.2735696754311325,0.24167717101744482,0.28239857441665,0.30203807810805,0.29609192002558515,0.24810080164116075,0.2009669070371575,0.23365232398002356,0.25202401522301926,0.28523621777327773,0.3170707395049351,0.2731314447450001,0.3102656986156502,0.2653788004590554,0.2558015334471555,0.28123763734659163,0.2149145126980381,0.23485526835142143,0.2360644399039615,0.33182564882850013,0.28613776633208554,0.2755374433053129,0.2969862802244416,0.25987157657360443,0.2699392190666177
22,0.2945627849152192,0.29227912128309164,0.2622582996492268,0.3113698470093002,0.2590146169668181,0.2892868791363002,0.24862623862029268,0.2770696471151289,0.23021174308545142,0.32288204683993516,0.3171811543443001,0.3160770059506502,0.29680071936992775,0.27980157265353006,0.29922421467915017,0.29127434624487014,0.28191814143552013,0.3149728575570001,0.3002179482334351,0.18120794980499424,0.29086174342408516,0.2528603785746724,0.33182564882850013,0.2494408855213938,0.32601434149350017,0.29609192002558515,0.28361742581334753,0.26648272802302664
