Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
16,0.0202626669,1.1687034388944495E-6,0.0593746418,0.0098456687,0.0508949198,0.0686524765,0.0035634441,0.0621970074,0.0416526781,0.0607359937
17,0.0278402639,0.0626221807,0.061269813,8.891001660232606E-4,0.018921214,2.720904690138799E-4,1.8458734368076435E-4,0.0467068397,0.0764038905,0.0580438379
18,0.0196676157,0.064016175,0.0249369878,0.0541051403,0.0221860089,0.0406392489,0.0033842417,0.0134396408,0.0655094142,0.0684680291
19,0.0063681907,0.0605110189,0.065634923,0.0314023052,0.0142068589,0.0687708564,9.547232829653524E-5,0.0029105143,0.0307992069,0.0059759611
20,0.0170527136,0.0475188631,0.0223001858,0.014771629,0.0818797189,0.0442643458,0.005985129,0.105701286,0.0809701333,0.0523178122
21,0.0144731329,0.0831503293,0.0525178814,0.0167188123,0.0516528816,0.0596328156,0.0012162338,0.0760458318,0.1244366009,0.0589817918
22,0.0467528804,0.0601097428,0.071577006,0.0147288247,0.0721956559,0.0645973117,0.0025187643,8.929213547237296E-5,0.1212654797,0.0833268932
23,0.0635814539,0.0764218916,0.0544871071,0.0167791593,0.0559292025,0.0411945857,0.0101495277,0.0537278792,0.0638936794,0.0652902871
24,0.0417075969,0.0524660639,0.0348564055,0.0436283267,0.0288204589,0.0199561749,0.0144256628,0.0079609283,0.0958848526,0.0610385589
25,0.0813887714,0.064882006,3.9924139822568994E-4,0.0298726423,0.0522323457,0.0620972979,0.0050971785,0.013231967,0.043132932,0.1051856707
26,0.0011640706,0.0634464939,0.0350659667,3.8751046227923034E-4,0.0865407982,0.0652273101,0.0344743564,0.0375286413,0.0440865919,0.0453583942
27,0.0218782538,0.0616186785,0.0766677736,0.0120120012,0.1652503323,0.0831953868,0.0714079672,0.0234780415,0.1127487209,0.0625240017
28,0.0799596862,0.0849318397,0.0114620305,0.0279408295,0.0792738224,0.0181968368,0.0293842077,0.052952506,0.070142152,0.0596312728
29,0.0825756218,0.0982139787,0.0085086228,0.0132112793,0.0971940122,0.0045890039,0.0894765452,0.0439480304,0.0830814041,0.0489979359
30,0.0308286108,0.0474183384,0.0074241788,0.0443300264,0.1094280784,0.0349123052,0.0627339392,0.0371823796,0.0931647829,0.058710738
31,0.024728432,0.0270581272,0.0019063862,0.018512805,0.1712395806,0.0672237718,0.0029470709,0.0583928806,0.1395632623,0.0648008771
32,0.0031117337,0.095497327,0.1054980296,0.0068748295,0.1142569357,0.0167905765,0.0667136789,0.0776139277,0.0611302313,0.0581261623
33,0.0106827777,0.0628468265,0.0452841282,0.0084138277,0.1096675234,0.0071823643,0.052329616,0.0695354957,0.0786925554,0.1003368353
34,0.0051672982,0.0816908459,0.0255483634,0.0044587298,0.0980521453,0.0547049315,0.0470735742,0.1018596619,0.0127246205,0.0505377778
