Episodes;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward
26;0.0753810828;0.0330968607;0.0915670701;0.0049845648;0.0467500411;0.0639090184;0.0628247513;0.0691234256;0.0057582324;0.013294725
27;0.0625372188;0.0487703715;0.1353852345;0.0453730444;6.503065145709276E-4;0.0744919416;0.0447970958;0.1366321732;0.0046033806;0.0012197898
28;0.0971077498;0.0022232919;0.1310011595;0.1117640321;0.0036603511;0.0024892923;0.0891068626;0.0932934598;0.0174787356;0.0438429826
29;0.0536106049;0.0442094149;0.1230183256;0.0173420827;0.0419774041;0.0208276934;0.0462945358;0.1265847123;0.0044894769;0.0379544093
30;0.0329005902;0.0067678375;0.0953929071;0.0270937981;0.0543246428;0.0125134885;0.0555340909;0.108677699;0.007924661;0.0050984179
31;0.0514612315;0.0230435676;0.0781327464;0.0693528983;0.0433750226;0.0540172756;0.0772640403;0.0791168124;0.0330297584;0.007821517
32;0.0476784124;0.0161565977;0.1043667138;0.0160347612;0.1101517817;0.036684702;0.0390758526;0.1226113715;0.0118933695;0.083138403
33;0.0437899766;0.0603350032;0.1164031486;0.0213353438;0.0496775091;0.0141757523;0.0581901795;0.0963603323;0.0087275875;0.0210393878
34;0.1034042966;0.0242777261;0.1326944418;0.0445854385;0.0790282189;0.0503159794;0.0297045181;0.0663584146;0.0606397712;0.0280278809
35;0.0330216386;0.0125343796;0.1657722548;0.0489622762;0.0860091103;0.0170342858;0.0395018916;0.1511167115;0.004716238;0.058101836
36;0.0312597286;0.0339645943;0.0892840718;0.0766885419;0.0786835726;0.0864685102;0.0570301408;0.0622396132;0.0530054972;0.0178129177
37;0.0330320763;0.0423386014;0.1369135737;0.0775106247;0.0099633467;0.077473587;0.0606496959;0.0980468456;0.0303152568;0.0766837489
38;0.0783784605;0.0124516175;0.1637289646;0.0787085082;0.0577061609;0.0698944828;0.0961822319;0.1224372097;0.0204453611;0.0411758896
39;0.0763043551;0.0310885276;0.1475032664;0.0383820543;0.0663337044;0.054347568;0.0181710036;0.1010938226;0.0382639493;0.0556699738
40;0.1272975839;0.0449535614;0.1943476688;0.0835628339;0.0525487471;0.0292395327;0.0563974134;0.0480214586;0.0183175467;0.0540437028
41;0.0704005562;0.0746181893;0.1364855503;0.0226912828;0.1017062529;0.0415659656;0.038976087;0.0662790285;0.0226884763;0.0293112203
42;0.0563482253;0.0399956419;0.0966453273;0.0269837239;0.0734831932;0.0586401634;0.0702697202;0.1053506474;0.0137705821;0.0593347986
43;0.0606474421;0.0591381502;0.1249919514;0.067589632;0.0606456438;0.064029174;0.0286804286;0.092014739;0.02414684;0.074315614
44;0.0681172842;0.037185656;0.1340984193;0.1117468049;0.0699993987;0.0586068006;0.0439308399;0.1535647398;0.0105579823;0.0643872242
45;0.0610441484;0.0223475492;0.0865276427;0.0260678419;0.0739490694;0.1109175725;0.0595611831;0.1180916464;0.0155292148;0.0608456079
46;0.0677445592;0.0582741877;0.1422507319;0.1026904577;0.0496511792;0.0279991316;0.081416021;0.0973906572;0.0056966812;0.0864551455
47;0.0726272505;0.0500156183;0.0493930638;0.0491773863;0.0510714688;0.0942739289;0.0184295441;0.0945272687;0.0522706302;0.0349868065
48;0.0626712869;0.0240581787;0.0707299071;0.0413969051;0.0646488578;0.0903013735;0.0860678007;0.0969221992;0.0301203588;0.0265027353
49;0.0812069893;0.0463265841;0.1648224142;0.040803526;0.0594839258;0.0087949272;0.09884273;0.1052219389;0.017595421;0.037430373
50;0.0601909809;0.0178783488;0.2432173533;0.0774821531;0.1031527514;0.0251267181;0.0680472932;0.1323668924;0.0853502886;0.0117017066
51;0.0454555377;0.0286479378;0.1808452406;0.0243980858;0.0670065994;0.0351551043;0.0599611828;0.0862263855;0.0040589833;0.0541582943
52;0.03447704;0.058149164;0.082533126;0.0541522295;0.0887555565;0.0237407205;0.0888628229;0.1107519228;0.0421809214;0.042918655
53;0.0795579896;0.0630847553;0.1370531611;0.0679013535;0.0980736747;0.126818589;0.0554871597;0.0926582584;0.0108063704;0.0783769354
54;0.0749961816;0.0750273936;0.1772521121;0.0497781587;0.0830686898;0.0819867993;0.1121152899;0.092101599;0.0409221952;0.0224449392
55;0.0692193743;0.0507420767;0.2196365783;0.0191922897;0.1495219073;0.0809472628;0.0756032966;0.1181871195;0.0279582303;0.0522168815
56;0.0929601565;0.0509072577;0.165998906;0.0832107323;0.1537243039;0.07747374;0.0825663565;0.1247706812;0.0797823642;0.0830667798
57;0.0836736508;0.0426653106;0.1819575428;0.0632969048;0.0986845209;0.0668321011;0.0164256056;0.0951371207;0.0488346675;0.0614447568
58;0.0662909648;0.1074463285;0.1449352405;0.0598776215;0.0582280396;0.0845244449;0.0676999875;0.1142257722;0.072418466;0.0302348025
59;0.0776316457;0.0228402215;0.2109893686;0.0314280991;0.0958818113;0.0813538801;0.1313622371;0.1071306175;0.030637686;0.1060463049
60;0.0824453102;0.1191245834;0.2201203823;0.0719963549;0.0705345649;0.0851048349;0.0665641158;0.0353145781;0.0470775982;0.0506523713
61;0.0728188447;0.0358223;0.0065991947;0.0863618642;0.1068812286;0.0790181314;0.1173265576;0.0800151335;0.0471318793;0.0371440576
62;0.0848410279;0.0923446078;0.1406612576;0.0269673938;0.0847889979;0.0984271815;0.0656070047;0.116865751;0.0415817306;0.0955120503
63;0.0386217562;0.0630932108;0.1926605802;0.0212312022;0.1117636868;0.1341652716;0.1021541227;0.1236383588;0.089293194;0.034447368
64;0.0421011204;0.0660658833;0.1111053723;0.0793359949;0.1184563934;0.0845046588;0.0866216707;0.1262026225;0.0064929361;0.0766875388
65;0.1242009066;0.0857109989;0.1522570479;0.0544567518;0.0834423228;0.1153459712;0.0346390143;0.125916326;0.0436685483;0.112773185
66;0.0723277537;0.1286534485;0.1702602488;0.1079044484;0.1079670335;0.0616911755;0.0881367652;0.0761490729;0.0550577914;0.0340048589
67;0.0605364125;0.1108943941;0.1881280287;0.1938390864;0.059085892;0.0482013723;0.1376417352;0.1108936926;0.0549423895;0.1142354192
68;0.0518467082;0.1518994617;0.2169341397;0.1705374389;0.0895715859;0.1458219148;0.0778490551;0.0773832316;0.0734931602;0.0705373828
69;0.1082840064;0.0945442312;0.1500471798;0.1239816364;0.0926789009;0.0893741704;0.033081238;0.1171350605;0.036887396;0.0481813326
70;0.0911982734;0.0335459944;0.2335924142;0.1269380763;0.1599250508;0.1480222355;0.1062383835;0.1353430227;0.0857927968;0.0345721264
71;0.0982168398;0.1073848653;0.2124967015;0.1205053176;0.0873418824;0.1209397283;0.0792903205;0.1496717908;0.0272347975;0.0058893216
72;0.0580893273;0.0594666015;0.2057749264;0.1298129566;0.0679443581;0.0444392862;0.1087896196;0.1121140235;0.0542995929;0.0943814278
